date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:36:07	12402/12402	---M--	200	added ('OK')	application/x-javascript	etag:%223072-58dde996f0800%22	https://davur.dexignzone.com/frontend/vendor/jquery-asColor/jquery-asColor.min.js	C:/Mes%20Sites%20Web/dahboard%20reataurant/davur.dexignzone.com/frontend/vendor/jquery-asColor/jquery-asColor.min.js	(from https://davur.dexignzone.com/frontend/front-setting.html)
12:36:07	9665/9665	---M--	200	added ('OK')	application/x-javascript	etag:%2225c1-58dde996f0800%22	https://davur.dexignzone.com/frontend/vendor/jquery-asGradient/jquery-asGradient.min.js	C:/Mes%20Sites%20Web/dahboard%20reataurant/davur.dexignzone.com/frontend/vendor/jquery-asGradient/jquery-asGradient.min.js	(from https://davur.dexignzone.com/frontend/front-setting.html)
12:36:08	33592/33592	---M--	200	added ('OK')	application/x-javascript	etag:%228338-58dde996f0800%22	https://davur.dexignzone.com/frontend/vendor/jquery-asColorPicker/js/jquery-asColorPicker.min.js	C:/Mes%20Sites%20Web/dahboard%20reataurant/davur.dexignzone.com/frontend/vendor/jquery-asColorPicker/js/jquery-asColorPicker.min.js	(from https://davur.dexignzone.com/frontend/front-setting.html)
12:36:08	278/278	---M--	200	added ('OK')	application/x-javascript	etag:%22116-58dde99508380%22	https://davur.dexignzone.com/frontend/js/plugins-init/jquery-asColorPicker.init.js	C:/Mes%20Sites%20Web/dahboard%20reataurant/davur.dexignzone.com/frontend/js/plugins-init/jquery-asColorPicker.init.js	(from https://davur.dexignzone.com/frontend/front-setting.html)
12:36:09	0/-1	---M--	302	error ('')			https://davur.dexignzone.com/dashboard/social-image.png	C:/Mes%20Sites%20Web/dahboard%20reataurant/davur.dexignzone.com/dashboard/social-image.67.delayed	(from https://davur.dexignzone.com/frontend/front-support.html)
12:36:09	0/-1	---M--	302	error ('')			https://davur.dexignzone.com/dashboard/social-image.png	C:/Mes%20Sites%20Web/dahboard%20reataurant/davur.dexignzone.com/dashboard/social-image.69.delayed	(from https://davur.dexignzone.com/frontend/front-terms_conditions.html)
12:36:10	0/-1	---M--	302	error ('')			https://davur.dexignzone.com/dashboard/social-image.png	C:/Mes%20Sites%20Web/dahboard%20reataurant/davur.dexignzone.com/dashboard/social-image.6b.delayed	(from https://davur.dexignzone.com/frontend/front-login.html)
12:36:10	46572/46572	---M--	200	added ('OK')	image/png	etag:%22b5ec-5c72becce0880%22	https://davur.dexignzone.com/frontend/images/terms-condition.png	C:/Mes%20Sites%20Web/dahboard%20reataurant/davur.dexignzone.com/frontend/images/terms-condition.png	(from https://davur.dexignzone.com/frontend/front-terms_conditions.html)
12:36:10	85570/85570	---M--	200	added ('OK')	image/png	etag:%2214e42-5c72b91d91f00%22	https://davur.dexignzone.com/frontend/images/24x7.png	C:/Mes%20Sites%20Web/dahboard%20reataurant/davur.dexignzone.com/frontend/images/24x7.png	(from https://davur.dexignzone.com/frontend/front-support.html)
12:36:13	3754/3754	---M-Z	200	added ('OK')	text/html	etag:%22eaa-5c9d7c0d6af80-gzip%22	https://davur.dexignzone.com/frontend/page-register.html	C:/Mes%20Sites%20Web/dahboard%20reataurant/davur.dexignzone.com/frontend/page-register.html	(from https://davur.dexignzone.com/frontend/front-login.html)
12:36:18	107434/107434	---M--	200	added ('OK')	application/javascript	etag:%2232f6a7855291ce4b44ca077d379df01d%22	https://dzassets.s3.amazonaws.com/w3-global.js?btn_dir=right	C:/Mes%20Sites%20Web/dahboard%20reataurant/dzassets.s3.amazonaws.com/w3-global8bb6.js	(from https://davur.dexignzone.com/frontend/js/custom.js)
12:36:22	1338100/1338100	---M--	200	added ('OK')	image/jpeg	etag:%22146af4-5bb97ad72f000%22	https://davur.dexignzone.com/frontend/images/login.jpg	C:/Mes%20Sites%20Web/dahboard%20reataurant/davur.dexignzone.com/frontend/images/login.jpg	(from https://davur.dexignzone.com/frontend/front-login.html)
12:36:23	53572/53572	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22d144-58dde99508380%22	https://davur.dexignzone.com/frontend/icons/simple-line-icons/fonts/Simple-Line-Icons4c82.eot?-i3a2kk	C:/Mes%20Sites%20Web/dahboard%20reataurant/davur.dexignzone.com/frontend/icons/simple-line-icons/fonts/Simple-Line-Icons4c824c82.eot	(from https://davur.dexignzone.com/frontend/icons/simple-line-icons/css/simple-line-icons.css)
12:36:24	53572/53572	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22d144-58dde99508380%22	https://davur.dexignzone.com/frontend/icons/simple-line-icons/fonts/Simple-Line-Iconsd41d.eot?	C:/Mes%20Sites%20Web/dahboard%20reataurant/davur.dexignzone.com/frontend/icons/simple-line-icons/fonts/Simple-Line-Iconsd41dd41d.eot	(from https://davur.dexignzone.com/frontend/icons/simple-line-icons/css/simple-line-icons.css)
12:36:27	26384/26384	---M--	200	added ('OK')	application/font-woff2	etag:%226710-58dde99508380%22	https://davur.dexignzone.com/frontend/icons/simple-line-icons/fonts/Simple-Line-Icons4c82.woff2?-i3a2kk	C:/Mes%20Sites%20Web/dahboard%20reataurant/davur.dexignzone.com/frontend/icons/simple-line-icons/fonts/Simple-Line-Icons4c824c82.woff2	(from https://davur.dexignzone.com/frontend/icons/simple-line-icons/css/simple-line-icons.css)
12:36:27	53368/53368	---M--	200	added ('OK')	application/x-font-ttf	etag:%22d078-58dde99508380%22	https://davur.dexignzone.com/frontend/icons/simple-line-icons/fonts/Simple-Line-Icons4c82.ttf?-i3a2kk	C:/Mes%20Sites%20Web/dahboard%20reataurant/davur.dexignzone.com/frontend/icons/simple-line-icons/fonts/Simple-Line-Icons4c824c82.ttf	(from https://davur.dexignzone.com/frontend/icons/simple-line-icons/css/simple-line-icons.css)
12:36:30	53444/53444	---M--	200	added ('OK')	application/font-woff	etag:%22d0c4-58dde99508380%22	https://davur.dexignzone.com/frontend/icons/simple-line-icons/fonts/Simple-Line-Icons4c82.woff?-i3a2kk	C:/Mes%20Sites%20Web/dahboard%20reataurant/davur.dexignzone.com/frontend/icons/simple-line-icons/fonts/Simple-Line-Icons4c824c82.woff	(from https://davur.dexignzone.com/frontend/icons/simple-line-icons/css/simple-line-icons.css)
12:36:34	197702/197702	---M--	200	added ('OK')	image/svg+xml	etag:%2230446-58dde99508380%22	https://davur.dexignzone.com/frontend/icons/simple-line-icons/fonts/Simple-Line-Icons4c82.svg?-i3a2kk	C:/Mes%20Sites%20Web/dahboard%20reataurant/davur.dexignzone.com/frontend/icons/simple-line-icons/fonts/Simple-Line-Icons4c824c82.svg	(from https://davur.dexignzone.com/frontend/icons/simple-line-icons/css/simple-line-icons.css)
12:36:35	134294/134294	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2220c96-5d2a42887a100%22	https://davur.dexignzone.com/frontend/icons/font-awesome/webfonts/fa-brands-400.eot	C:/Mes%20Sites%20Web/dahboard%20reataurant/davur.dexignzone.com/frontend/icons/font-awesome/webfonts/fa-brands-400.eot	(from https://davur.dexignzone.com/frontend/icons/font-awesome/css/all.min.css)
12:36:38	76736/76736	---M--	200	added ('OK')	application/font-woff2	etag:%2212bc0-5d2a42887a100%22	https://davur.dexignzone.com/frontend/icons/font-awesome/webfonts/fa-brands-400.woff2	C:/Mes%20Sites%20Web/dahboard%20reataurant/davur.dexignzone.com/frontend/icons/font-awesome/webfonts/fa-brands-400.woff2	(from https://davur.dexignzone.com/frontend/icons/font-awesome/css/all.min.css)
